AppId,Name,Positive,Negative,TotalRatings,RatingsRatio,UserScore,AvgForever,Avg2Weeks,MedForever,Med2Weeks,Bayesian
410710,System Shock: Enhanced Edition,1337,135,1472,90.8288043478261,0,79,0,107,0,83.57573367797919
465200,Fury Unleashed,1253,119,1372,91.3265306122449,0,1352,0,1352,0,83.5729164778026
873940,Crying Suns,2676,410,3086,86.71419313026571,0,361,0,366,0,83.51663968738319
404540,Nex Machina,1555,202,1757,88.50313033579967,0,113,0,151,0,83.44500510732628
288470,Fable Anniversary,8552,1607,10159,84.18151392853628,0,701,2,495,2,83.38609030344503
607050,Wargroove,3553,618,4171,85.18340925437545,0,1023,0,585,0,83.35338433249184
516110,ToeJam & Earl: Back in the Groove,772,77,849,90.93050647820968,0,14,0,14,0,83.2708316021686
785890,Hexologic,376,15,391,96.16368286445012,0,0,0,0,0,83.1669908492316
1069030,EarthX,380,25,405,93.82716049382717,0,0,0,0,0,83.11275501442952
1191900,Say No! More,438,41,479,91.44050104384134,0,0,0,0,0,83.08802519132657
445190,Expeditions: Viking,2696,503,3199,84.27633635511097,0,356,0,356,0,83.07621550295642
232790,Broken Age,6079,1193,7272,83.59460946094609,0,301,0,381,0,83.07290318345594
1142080,Pawnbarian,240,16,256,93.75,0,0,0,0,0,82.99684737952681
1016120,PGA TOUR 2K21,4668,941,5609,83.2233909787841,0,3246,591,4251,591,82.92004088136834
1051410,Wanderlust: Travel Stories,73,7,80,91.25,0,38,0,38,0,82.84485895899842
636070,Corridor Z,80,9,89,89.8876404494382,0,0,0,0,0,82.84154878962103
521880,RPG Maker VX,75,12,87,86.20689655172413,0,0,0,0,0,82.81727870834514
631770,Pixplode,24,2,26,92.3076923076923,0,144,0,144,0,82.81376795288887
800342,X-Morph: Defense - Last Bastion,14,0,14,100.0,0,0,0,0,0,82.81331292080814
609850,Slinger VR,17,3,20,85.0,0,0,0,0,0,82.79895036395678
1722010,Dagon - The Eldritch Box DLC,0,0,0,0.0,0,0,0,0,0,82.79573430228537
1103730,Shing!,152,32,184,82.6086956521739,0,0,0,0,0,82.79325337191922
800341,X-Morph: Defense - Survival Of The Fittest,2,1,3,66.66666666666666,0,0,0,0,0,82.79220003102667
622890,NecroWorm,44,10,54,81.48148148148148,0,0,0,0,0,82.79056981457562
800340,X-Morph: Defense - European Assault,15,4,19,78.94736842105263,0,0,0,0,0,82.79039982254422
1641890,Lust from Beyond: M Edition,57,13,70,81.42857142857143,0,0,0,0,0,82.78877817531252
723100,Orbital Racer,27,8,35,77.14285714285715,0,0,0,0,0,82.78131669970301
1379550,The USB Stick Found in the Grass,18,7,25,72.0,0,0,0,0,0,82.77605252811202
579720,Neverout,33,13,46,71.73913043478261,0,0,0,0,0,82.75870145909975
916100,Telefrag VR,45,22,67,67.16417910447761,0,0,0,0,0,82.71959289366325
1433860,The Amazing American Circus,111,49,160,69.375,0,266,0,266,0,82.64066933691105
530930,Soulblight,45,42,87,51.72413793103448,0,0,0,0,0,82.59949060579807
875310,LIBERATED,375,112,487,77.00205338809035,0,0,0,0,0,82.59668308245458
1078760,Motorcycle Mechanic Simulator 2021,445,129,574,77.52613240418118,0,343,0,343,0,82.58364751308157
349730,Popup Dungeon,623,175,798,78.0701754385965,0,39,0,39,0,82.53541170376498
844260,Rustler,665,187,852,78.05164319248826,0,194,0,374,0,82.51774218820653
442070,Drawful 2,2277,540,2817,80.83067092651757,0,109,0,16,0,82.46034312127574
1026420,WARSAW,547,186,733,74.62482946793997,0,186,0,273,0,82.38041410430797
1016790,West of Dead,613,205,818,74.93887530562347,0,147,0,150,0,82.35267805293894
867400,Out of Reach: Treasure Royale,236,136,372,63.44086021505376,0,69,0,137,0,82.28363712467585
286000,Tooth and Tail,2914,735,3649,79.85749520416553,0,208,0,130,0,82.17730419233567
871530,Radio Commander,989,318,1307,75.66947207345065,0,307,0,371,0,82.1745863550691
718650,Driftland: The Magic Revival,1073,353,1426,75.24544179523141,0,232,0,343,0,82.08336041828665
320040,Moon Hunters,3190,823,4013,79.49165213057563,0,161,252,162,252,82.04665861357378
546430,Pathway,1315,426,1741,75.53130384836301,0,373,0,266,0,81.97601231619296
449960,Book of Demons,8982,2138,11120,80.77338129496403,0,464,0,273,0,81.88922450936323
266310,GameGuru,1418,527,1945,72.90488431876608,0,191,0,31,0,81.56514010941673
748300,Treasure Hunter Simulator,615,348,963,63.862928348909655,0,488,0,488,0,81.55128205247351
418270,Draw Slasher,364,313,677,53.76661742983752,0,24,0,16,0,81.4276237859605
520720,Dear Esther: Landmark Edition,2696,881,3577,75.37042214145933,0,164,13,217,13,81.25732935751793
999220,Amnesia: Rebirth,4634,1396,6030,76.84908789386401,0,283,0,283,0,80.97716560169151
523650,Lust for Darkness,2354,1050,3404,69.1539365452409,0,202,0,235,0,80.07884524939588
327070,Gloria Victis,4946,1958,6904,71.63962920046349,0,639,0,1122,0,79.05533589680714
239200,Amnesia: A Machine for Pigs,6349,2864,9213,68.91349180505807,0,99,0,24,0,77.21091713456434
924970,Back 4 Blood,21540,12001,33541,64.21990996094333,0,1186,29,716,29,69.6035513462516
